*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Controller_v3 - trial 6.3.4 mux fix filled
*Date=23:15:45
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
419;;;70.6628;-17.0183;0;Bottom;Copper Fill102
420;;;57.9501;-22.1618;0;Bottom;Copper Fill26
421;;400 mil [THT];85.9203;-40.7732;90;Bottom;L3
422;;;101.524;-95.4154;0;Bottom;Copper Fill381
423;0.22mF;200 mil [THT, electrolytic];92.9053;-79.5082;90;Bottom;C25
424;;;74.4728;-93.3199;0;Bottom;Copper Fill28
425;;;41.2242;-24.1176;0;Bottom;Copper Fill260
426;;;89.4207;-23.0381;0;Bottom;Copper Fill317
427;;;27.0002;-24.9812;0;Bottom;Copper Fill269
428;;TO220 [THT];117.924;-27.4382;90;Bottom;Q13
429;;;71.5518;-38.7226;0;Bottom;Copper Fill397
430;100nF;100 mil [THT, multilayer];102.43;-96.6532;-90;Bottom;C12
431;;DIP (Dual Inline) [THT];67.5053;-96.0182;0;Bottom;555
432;;;75.057;-16.0912;0;Bottom;Copper Fill280
433;;;106.845;-43.6502;0;Bottom;Copper Fill87
434;;;77.0156;-32.8846;0;Bottom;TXT3
435;;;36.6141;-75.0954;0;Bottom;Copper Fill128
436;;;50.3936;-25.7686;0;Bottom;Copper Fill265
437;;;126.301;-123.978;0;Bottom;Copper Fill338
438;;;93.4466;-122.162;0;Bottom;Copper Fill159
439;;;65.8876;-135.979;0;Bottom;Copper Fill147
440;;;136.973;-96.4339;-90;Bottom;TXT4
441;10k;THT;48.4553;-24.2632;90;Bottom;R52
442;;;125.26;-135.166;0;Bottom;Copper Fill136
443;;;120.193;-133.109;0;Bottom;Copper Fill56
444;;;67.8307;-23.0381;0;Bottom;Copper Fill312
445;;THT;132.275;-69.3482;0;Bottom;PWM 1
